0,24,30,36,42,48,54,60,66,72,84,90
36,262,284,307,330,354,381,409,436,464,519,547
42,269,295,320,346,377,407,437,468,498,559,590
48,278,305,332,366,400,433,466,500,533,600,633
54,286,316,350,386,422,459,495,531,568,640,677
60,295,328,367,406,445,485,524,563,602,680,720
66,303,343,384,427,468,511,553,595,637,721,762
72,312,357,402,447,491,536,581,626,672,760,806
78,324,371,419,467,514,563,610,658,706,801,849
84,335,386,436,487,538,588,639,690,740,842,893
90,347,400,454,507,561,615,668,722,775,882,936
96,358,415,471,527,584,640,697,753,810,922,979
102,370,429,488,547,607,666,726,785,844,963,1031
108,381,444,506,568,630,692,755,817,879,1003,1066
120,404,472,540,608,676,744,812,880,948,1084,1152